garment,action,simulator,mode,n_samples,cd_l1_s2r,cd_l2_s2r,cd_l1_r2s,hd_s2r,hd_r2s,sim_stab,z_err
beige_hoodie,fling,isaacsim,fixed_point,3,0.0617,0.0479,0.0352,0.1906,0.1493,0.0167,0.0076
beige_hoodie,fling,mujoco_style3d,fixed_point,3,0.0425,0.0332,0.0256,0.1409,0.1254,0.0166,0.0064
beige_hoodie,fling,pybullet,fixed_point,2,0.0523,0.0413,0.031,0.1736,0.1307,0.0168,0.0256
beige_hoodie,fold,isaacsim,fixed_point,3,0.0457,0.0352,0.0302,0.1635,0.0966,0.0168,0.0243
beige_hoodie,fold,mujoco_style3d,fixed_point,3,0.0355,0.0268,0.0225,0.1726,0.1493,0.0165,0.0083
beige_hoodie,fold,pybullet,fixed_point,3,0.0381,0.0292,0.024,0.172,0.0952,0.0167,0.0062
beige_hoodie,grasp,isaacsim,fixed_point,3,0.0639,0.0499,0.0308,0.2531,0.1008,0.0171,0.0266
beige_hoodie,grasp,mujoco_style3d,fixed_point,3,0.0404,0.0313,0.0217,0.1763,0.0882,0.0168,0.0103
beige_hoodie,grasp,pybullet,fixed_point,3,0.0561,0.0439,0.0275,0.2004,0.0947,0.0168,0.0273
blue_dress,fling,isaacsim,fixed_point,3,0.1286,0.1054,0.0928,0.2786,0.2228,0.0179,0.0873
blue_dress,fling,mujoco_style3d,fixed_point,3,0.0954,0.0779,0.0687,0.2204,0.1765,0.0177,0.0849
blue_dress,fling,pybullet,fixed_point,3,0.1197,0.0983,0.0889,0.2643,0.2007,0.018,0.0994
blue_dress,fold,isaacsim,fixed_point,3,0.0464,0.0377,0.0459,0.1422,0.1338,0.0177,0.0196
blue_dress,fold,mujoco_style3d,fixed_point,3,0.0241,0.0182,0.0187,0.0977,0.08,0.0174,0.007
blue_dress,fold,pybullet,fixed_point,3,0.0382,0.0311,0.0331,0.1361,0.1229,0.0176,0.0061
blue_dress,grasp,isaacsim,fixed_point,3,0.0562,0.0456,0.049,0.149,0.1563,0.0181,0.0213
blue_dress,grasp,mujoco_style3d,fixed_point,3,0.0282,0.0221,0.0221,0.0944,0.0953,0.0179,0.0189
blue_dress,grasp,pybullet,fixed_point,3,0.0559,0.0455,0.0433,0.1539,0.1468,0.0179,0.0282
brown_coat,fling,isaacsim,fixed_point,3,0.0729,0.0561,0.0815,0.2485,0.2406,0.0154,0.0735
brown_coat,fling,mujoco_style3d,fixed_point,3,0.054,0.0402,0.0379,0.1654,0.1239,0.0156,0.031
brown_coat,fling,pybullet,fixed_point,3,0.1372,0.1138,0.1071,0.5176,0.2737,0.0155,0.1643
brown_coat,fold,isaacsim,fixed_point,3,0.0431,0.0336,0.0346,0.145,0.1182,0.0155,0.0639
brown_coat,fold,mujoco_style3d,fixed_point,3,0.0443,0.0332,0.0279,0.1707,0.1083,0.0156,0.0376
brown_coat,fold,pybullet,fixed_point,3,0.0494,0.0395,0.0309,0.2094,0.1251,0.0153,0.0063
brown_coat,grasp,isaacsim,fixed_point,3,0.07,0.0539,0.0605,0.2235,0.1395,0.0159,0.0794
brown_coat,grasp,mujoco_style3d,fixed_point,3,0.0681,0.0519,0.032,0.2312,0.1053,0.0159,0.0495
brown_coat,grasp,pybullet,fixed_point,3,0.1069,0.086,0.0573,0.3612,0.1817,0.0158,0.0445
green_tshirt,fling,isaacsim,fixed_point,3,0.0721,0.06,0.0567,0.1986,0.171,0.0208,0.0199
